time,dives,contracts,permits,raids
08-21-2023 20:46:17,0,0,0,0
08-21-2023 21:34:52,0,0,0,0
08-21-2023 22:23:36,0,1,0,0
08-21-2023 23:12:21,0,0,0,0
08-22-2023 00:01:04,0,0,0,0
08-22-2023 00:49:48,0,0,0,1
08-22-2023 01:38:32,0,0,0,0
08-22-2023 02:27:23,0,0,0,0
08-22-2023 03:16:16,1,0,0,0
08-22-2023 04:05:07,0,0,0,0
08-22-2023 04:54:07,1,2,1,0
08-22-2023 05:42:42,0,0,0,0
08-22-2023 06:31:19,0,0,0,0
08-22-2023 07:19:53,1,0,0,0
08-22-2023 08:08:38,3,0,0,0
08-22-2023 08:57:22,0,0,0,0
08-22-2023 09:46:05,0,0,0,0
08-22-2023 10:34:49,0,0,0,0
08-22-2023 11:23:52,0,0,1,0
08-22-2023 12:12:43,0,0,0,0
08-22-2023 13:01:37,0,1,1,0
08-22-2023 13:50:13,0,0,0,0
08-22-2023 14:38:57,0,0,0,0
08-22-2023 15:27:41,0,1,0,0
08-22-2023 16:16:33,2,0,1,0
08-22-2023 17:05:17,2,0,0,0
08-22-2023 17:54:01,2,0,0,0
08-22-2023 18:42:47,0,0,0,0
08-22-2023 19:31:40,1,0,0,0
08-22-2023 20:20:31,0,1,0,0
08-22-2023 21:09:15,1,0,0,0
08-22-2023 21:58:49,0,0,1,0
08-22-2023 22:47:34,0,1,0,0
08-22-2023 23:36:10,0,0,0,0
08-23-2023 00:24:46,2,0,0,0
08-23-2023 03:09:03,2,0,0,0
08-23-2023 03:57:55,0,0,0,0
08-23-2023 04:46:47,1,0,1,0
08-23-2023 05:35:39,2,0,0,0
08-23-2023 06:24:31,1,1,1,0
08-23-2023 07:13:07,0,0,0,0
08-23-2023 08:01:50,0,0,0,0
08-23-2023 08:50:33,0,1,0,0
08-23-2023 09:39:23,1,1,0,1
08-23-2023 10:28:07,0,1,0,0
08-23-2023 11:16:42,1,0,0,0
08-23-2023 12:05:19,0,0,0,0
08-23-2023 12:54:02,0,0,0,1
08-23-2023 13:42:46,0,0,0,0
08-23-2023 14:31:31,0,0,0,0
08-23-2023 15:20:21,1,0,0,0
08-23-2023 16:09:14,1,1,0,0
08-23-2023 16:58:05,1,1,0,0
